no,section,size,field,value,deviation,verdict,note,confidence,needs_review
28,measurement,XS,Pocket position from below waist stitch,1,,okay,,1.00,
29,measurement,XS,Pocket opening length,5 1/2,,okay,,1.00,
30,measurement,XS,Pocket bag length,8 5/8,-1/4,deviation,,1.00,
31,measurement,XS,Pocket bag width,6 1/8,,okay,,1.00,
32,measurement,S,Waistband height,1 1/4,,not stated,,1.00,
33,measurement,S,Waistband elastic height,1 3/8,,not stated,,1.00,
34,measurement,S,Waist relaxed at top edge,28 3/4,-1/2,deviation,,1.00,
35,measurement,S,Waist extended at top edge minimum,41,,not stated,,1.00,
36,measurement,S,Low hip placement from top waist,5 5/8,,not stated,,1.00,
37,measurement,S,3 point low hip,42 1/2,,not stated,,1.00,
38,measurement,S,Front rise straight to top waist,10 1/4,-1/4,deviation,Spoken as 'ten quarter.',0.90,
39,measurement,S,Back rise straight to top waist,15 1/2,-1/4,deviation,,1.00,
40,measurement,S,Short leg opening,28 1/2,,not stated,,1.00,
41,measurement,S,Inseam short,2 1/2,-1/8,deviation,,1.00,
42,measurement,S,Outseam from top waist,11,+1/4,deviation,,1.00,
43,measurement,S,Fly J-stitch length below waist seam,4 3/4,,not stated,,1.00,
44,measurement,S,Fly J-stitch width,1 1/8,,not stated,,1.00,
45,measurement,S,Hem height,1/2,,not stated,,1.00,
46,measurement,S,Front leg depth 3 inch from center front top edge relaxed,11 1/4,-1/4,deviation,Spoken as 'eleven quarter.',0.95,
47,measurement,S,Back leg depth 3 inch from center back top edge relaxed,12 1/2,+1/8,deviation,,1.00,
48,measurement,S,Saddle width 2 inch up from crotch,8 1/4,-1/4,deviation,,1.00,
49,measurement,S,Button space on fly front,2,,okay,,1.00,
50,measurement,S,Button position from waist stitch,1 1/4,,okay,,1.00,
51,measurement,S,On-seam pocket hem height,1/4,,okay,,1.00,
52,measurement,S,Pocket position from below waist stitch,1,,okay,,1.00,
53,measurement,S,Pocket opening length,5 3/4,+1/8,deviation,,1.00,
54,measurement,S,Pocket back length,9,-1/4,deviation,Value 9 was repeated and confirmed.,1.00,
55,measurement,S,Pocket back width,6 1/2,,okay,,1.00,
56,measurement,M,Waistband height,1 1/4,,okay,Value was repeated before confirmation.,1.00,
57,measurement,M,Waistband elastic height,1 3/8,,okay,,1.00,
58,measurement,M,Waist relaxed at top edge,30 3/4,-1/2,deviation,"Spoken as 'thirty-three quarter,' interpreted as 30 3/4 in the size progression.",0.82,yes
59,measurement,M,Waist extended at top edge minimum,43,,okay,,1.00,
60,measurement,M,Low hip placement from top waist,6,,okay,,1.00,
61,measurement,M,3 point low hip,44 1/2,-1/2,deviation,,1.00,
62,measurement,M,Front rise straight to top waist,10 3/4,-1/4,deviation,,1.00,
63,measurement,M,Back rise straight to top waist,16,-1/4,deviation,,1.00,
64,measurement,M,Short leg opening,30,-1/4,deviation,,1.00,
65,measurement,M,Inseam short,2 1/2,,okay,,1.00,
66,measurement,M,Outseam from top waist,11 3/8,,okay,,1.00,
67,measurement,M,Fly J-stitch length below waist seam,5 1/4,,okay,Spoken as 'five quarter.',0.95,
68,measurement,M,Fly J-stitch width,1 1/8,,okay,,1.00,
69,measurement,M,Hem height,1/2,,okay,,1.00,
70,measurement,M,Front leg depth 3 inch from center front top edge relaxed,11 5/8,-1/8,deviation,,1.00,
71,measurement,M,Back leg depth 3 inch from center back top edge relaxed,12 7/8,-1/8,deviation,,1.00,
72,measurement,M,Saddle width 2 inch up from crotch,8 1/2,-1/8,deviation,,1.00,
73,measurement,M,Button space on fly front,2,,okay,,1.00,
74,measurement,M,Button position from waist edge,1 1/4,-1/8,deviation,,1.00,
75,measurement,M,On-seam pocket hem height,1/4,,not stated,,1.00,
76,measurement,M,Pocket position from below waist edge,1,,okay,,1.00,
77,measurement,M,Pocket bag length,9,-1/4,deviation,,1.00,
78,measurement,M,Pocket bag width,6 1/2,,okay,,1.00,
79,construction,,Overlock,very hard,,not stated,Light press required; avoid creases.,1.00,
80,construction,,Main label seam,red thread seam grinning,,not stated,Ensure seam grinning is not present.,1.00,
81,construction,,Bottom hem stitch,broken stitch,,not stated,Maintain all seams and prevent stitch breaking.,1.00,
