no,section,size,field,value,deviation,verdict,note,confidence,needs_review
57,measurement,S,Saddle width 2 inch up from crotch,8 1/4,-1/4,,,1.00,
58,measurement,S,Button space on fly front,2,,,,1.00,
59,measurement,S,Button position from waist stitch,1 1/4,,,,1.00,
60,measurement,S,On-seam pocket hem height,1/4,,,,1.00,
61,measurement,S,Pocket position from below waist stitch,1,,,,1.00,
62,measurement,S,Pocket opening length,5 3/4,,,,1.00,
63,measurement,S,Pocket back length,9,-1/4,,Value repeated for confirmation,1.00,
64,measurement,S,Pocket back width,6 1/2,,,,1.00,
65,measurement,M,Waistband height,1 1/4,,,,1.00,
66,measurement,M,Waistband elastic height,1 3/8,,,,1.00,
67,measurement,M,Waist relaxed at top edge,30 3/4,,,Spoken as 'thirty-three quarter'; reconstructed as 30 3/4 from the phrasing and graded progression,0.63,yes
68,measurement,M,Waist extended at top edge minimum,43,,,,1.00,
69,measurement,M,Low hip placement from top waist,6,,,,1.00,
70,measurement,M,3 point low hip,44 1/2,,,,1.00,
71,measurement,M,Front rise straight to top waist,10 3/4,,,,1.00,
72,measurement,M,Back rise straight to top waist,16,,,,1.00,
73,measurement,M,Short leg opening,30,,,,1.00,
74,measurement,M,Inseam short,2 1/2,,,,1.00,
75,measurement,M,Outseam from top waist,11 3/8,,,,1.00,
76,measurement,M,Fly stitch length below waist seam,5 1/4,,,,1.00,
77,measurement,M,Fly stitch width,1 1/8,,,,1.00,
78,measurement,M,Hem height,1/2,,,,1.00,
79,measurement,M,Front leg depth 3 inch from center front top edge relaxed,11 5/8,-1/8,,,1.00,
80,measurement,M,Back leg depth 3 inch from center back top edge relaxed,12 7/8,-1/8,,,1.00,
81,measurement,M,Saddle width 2 inch up from crotch,8 1/2,-1/8,,,1.00,
82,measurement,M,Button space on fly front,2,,,,1.00,
83,measurement,M,Button position from waist edge,1 1/4,-1/8,,,1.00,
84,measurement,M,On-seam pocket hem height,1/4,,,Value repeated for confirmation,1.00,
85,measurement,M,Pocket position from below waist edge,1,,,,1.00,
86,measurement,M,Pocket bag length,9,-1/4,,,1.00,
87,measurement,M,Pocket bag width,6 1/2,,,,1.00,
88,comment,,Wash care missing,,,,Provide wash care,1.00,
89,comment,,Folding alternate,,,,Follow approved folding,1.00,
90,comment,,Side-seam notch missing,,,,Add the missing notch,1.00,
91,comment,,Overall press very hard,,,,Use light press and ensure no creases,1.00,
92,comment,,Main label red thread seam grinning,,,,Ensure no seam grinning,1.00,
93,comment,,Broken stitch at bottom hem,,,,Maintain seams and ensure no stitch breaking,1.00,
